vil_zh,vil_en
土城里,TUCHENG VIL.
土城巷,TUCHENG LN.
土巷,TU LN.
土厝村,TUCUO VIL.
土庫村,TUKU VIL.
土庫里,TUKU VIL.
土崎里,TUQI VIL.
土場巷,TUCHANG LN.
土溝里,TUGOU VIL.
士文村,SHIWEN VIL.
士林村,SHILIN VIL.
士林里,SHILIN VIL.
夕泉一巷,XIQUAN 1ST LN.
夕泉二巷,XIQUAN 2ND LN.
大千里,DAQIAN VIL.
大山村,DASHAN VIL.
大山里,DASHAN VIL.
大山巷,DASHAN LN.
大川巷,DACHUAN LN.
大井巷,DAJING LN.
大仁里,DAREN VIL.
大仁巷,DAREN LN.
大元里,DAYUAN VIL.
大內里,DANEI VIL.
大屯里,DATUN VIL.
大王村,DAWANG VIL.
大丘里,DAQIU VIL.
大北里,DABEI VIL.
大占巷,DAZHAN LN.
大平村,DAPING VIL.
大平里,DAPING VIL.
大平巷,DAPING LN.
大正里,DAZHENG VIL.
大永里,DAYONG VIL.
大田里,DATIAN VIL.
大甲里,DAJIA VIL.
大石一巷,DASHI 1ST LN.
大石二巷,DASHI 2ND LN.
大石三巷,DASHI 3RD LN.
大石五巷,DASHI 5TH LN.
大石六巷,DASHI 6TH LN.
大石四巷,DASHI 4TH LN.
大石村,DASHI VIL.
大石里,DASHI VIL.
大石巷,DASHI LN.
大光里,DAGUANG VIL.
大光巷,DAGUANG LN.
大全一巷,DAQUAN 1ST LN.
大全二巷,DAQUAN 2ND LN.
大全村,DAQUAN VIL.
大吉村,DAJI VIL.
大同一巷,DATONG 1ST LN.
大同二巷,DATONG 2ND LN.
大同西巷,DATONG W. LN.
大同村,DATONG VIL.
大同里,DATONG VIL.
大同東巷,DATONG E. LN.
大同南巷,DATONG S. LN.
大同巷,DATONG LN.
大圳巷,DAZUN LN.
大宅巷,DAZHAI LN.
大安村,DA’AN VIL.
大安里,DA’AN VIL.
大庄村,DAZHUANG VIL.
大庄里,DAZHUANG VIL.
大成一巷,DACHENG 1ST LN.
