title,free,from_price,date,image_url,event_url,event_id,address,location,lng,lat
"新北 | QWER台北演唱會2025｜【1, 2, QWER! in TAIPEI】The First QWER Fan Concert in TAIPEI｜Zepp New Taipei",False,HK$ 772,5月14日(週三),"https://res.klook.com/image/upload/x_107,y_0,w_1786,h_2500,c_crop/v1744773505/events_admin/hld1qkjki0kvakx5b3b3.jpg",https://www.klook.com/zh-TW/event-detail/101029290-2025-qwer-fan-concert-taipei/,101029290,,,,
台北 | 鐵達尼號電影音樂會2025台北場｜台北流行音樂中心,False,HK$ 232,6月8日(週日),"https://res.klook.com/image/upload/x_0,y_66,w_1322,h_1851,c_crop/v1744360159/events_admin/h8cuvz1xbe1hlkdshuys.jpg",https://www.klook.com/zh-TW/event-detail/101029270-2025-titanic-concert-taipei/,101029270,,,,
台中 | 鐵達尼號電影音樂會2025台中場｜台中歌劇院,False,HK$ 257,6月3日(週二) - 6月4日(週三),"https://res.klook.com/image/upload/x_0,y_66,w_1322,h_1851,c_crop/v1744358831/events_admin/kyuti0ajijz3llbg3wmj.jpg",https://www.klook.com/zh-TW/event-detail/101029268-2025-titanic-concert-taichung/,101029268,,,,
高雄 | 鐵達尼號電影音樂會2025｜高雄場｜衛武營,False,HK$ 257,5月31日(週六) - 6月1日(週日),"https://res.klook.com/image/upload/x_0,y_66,w_1322,h_1851,c_crop/v1744356444/events_admin/v6eibp8rhc8ptkiiepeh.jpg",https://www.klook.com/zh-TW/event-detail/101029266-2025-titanic-concert-kaohsiung/,101029266,,,,
台北 | &TEAM演唱會2025台北站｜2025 &TEAM CONCERT TOUR ‘AWAKEN THE BLOODLINE’ in TAIPEI｜南港展覽館,False,HK$ 746,6月20日(週五),"https://res.klook.com/image/upload/x_0,y_10,w_1400,h_1960,c_crop/v1744345972/events_admin/jphytlpkwzqfdrhh69sq.jpg",https://www.klook.com/zh-TW/event-detail/101029264-2025-andteam-concert-taipei/,101029264,,,,
台北 | 朱智勛見面會2025台北站｜2025 JU JI HOON Asia Tour Fanmeeting ‘JUNIVERSE’ in TAIPEI｜台大綜合體育館,False,HK$ 875,5月17日(週六),"https://res.klook.com/image/upload/x_0,y_10,w_1414,h_1980,c_crop/v1744344539/events_admin/koaqoyowifps5cx7v3a9.jpg",https://www.klook.com/zh-TW/event-detail/101029262-2025-ju-ji-hoon-fanmeet-taipei/,101029262,,,,
台北 | 姜大浩Gaho台北演唱會2025｜GAHO 2025 Live in Taipei w/ KAVE｜Legacy Taipei,False,HK$ 643,8月17日(週日),"https://res.klook.com/image/upload/x_0,y_8,w_1192,h_1669,c_crop/v1744341618/events_admin/fksdqc7fpv8bqxqqzqsq.jpg",https://www.klook.com/zh-TW/event-detail/101029259-2025-gaho-kave-live-in-taipei/,101029259,,,,
台北 | Tizzy Bac演唱會2025台北站｜Tizzy Bac 《 說出我的名字 》巡迴演唱會台北站｜Legacy Taipei,False,HK$ 334,5月16日(週五),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1744282240/events_admin/os55dvpebtf68ktqyo9h.jpg",https://www.klook.com/zh-TW/event-detail/101029257-2025-tizzy-bac-concert-taipei/,101029257,,,,
台北 | Balming Tiger演唱會2025台北站｜Balming Tiger World Expo '25 Tour｜Legacy Taipei,False,HK$ 514,7月19日(週六),"https://res.klook.com/image/upload/x_54,y_0,w_893,h_1250,c_crop/v1744278137/events_admin/znlznecmwqbt9sbodtyd.jpg",https://www.klook.com/zh-TW/event-detail/101029255-2025-balming-tiger-taipei/,101029255,,,,
台北 | Tokyo Ska Paradise Orchestra台北專場｜TOKYO SKA PARADISE ORCHESTRA First Concert in Taipei｜Legacy Taipei,False,HK$ 514,10月10日(週五),"https://res.klook.com/image/upload/x_0,y_10,w_1448,h_2027,c_crop/v1744276324/events_admin/h4saprf2asc7hvlue8vt.jpg",https://www.klook.com/zh-TW/event-detail/101029254-2025-tokyo-ska-paradise/,101029254,,,,
台中 | 《嬉春》Blissful Moments of Spring,True,,4月19日(週六) - 5月17日(週六),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1744268929/events_admin/w4hehajiarywb3ftmfvu.jpg",https://www.klook.com/zh-TW/event-detail/101029249-2025-blissfulmoments-of-spring/,101029249,,,,
新北 | 【WEIRDO 奇怪耶你！！！】周純卉陶瓷雕塑個展,True,,5月1日(週四) - 6月29日(週日),"https://res.klook.com/image/upload/x_0,y_13,w_1721,h_2409,c_crop/v1744267004/events_admin/mhcuoiyljksrrdxiobzr.jpg",https://www.klook.com/zh-TW/event-detail/101029247-2025-weirdo-ceramic-exhibition/,101029247,,,,
台北 | 涉水而渡 Contested Waters,True,,4月26日(週六) - 6月22日(週日),"https://res.klook.com/image/upload/x_171,y_0,w_857,h_1200,c_crop/v1744254372/events_admin/layjefhjfiu2xcaqktpw.jpg",https://www.klook.com/zh-TW/event-detail/101029243-2025-contested-waters/,101029243,,,,
台北 | Makitvaivi 布可思議 — 原音全境式沉浸互動演唱會,False,HK$ 206,5月25日(週日) - 7月12日(週六),https://res.klook.com/image/upload/主視覺_直式_jkdq5e.png,https://www.klook.com/zh-TW/activity/151905-makitvaivi-immersive-full-surround-interactive-concert/,101029242,,,,
高雄 | 史汀STING演唱會2025高雄站｜STING 3.0世界巡迴｜高雄流行音樂中心,False,HK$ 720,9月27日(週六),"https://res.klook.com/image/upload/x_8,y_0,w_1458,h_2041,c_crop/v1744174693/events_admin/qar949xrhmgzzutsxqrj.jpg",https://www.klook.com/zh-TW/event-detail/101029238-2025-sting-taipei-concert/,101029238,,,,
新北 | Travis Japan演唱會2025台北站｜Travis Japan World Tour 2025 VIIsual｜Zepp New Taipei,False,HK$ 720,9月6日(週六) - 9月7日(週日),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1744167676/events_admin/iuawb06hok6wfzywztoj.jpg",https://www.klook.com/zh-TW/event-detail/101029235-2025-travis-japan-taipei/,101029235,,,,
台北 | 精神時光屋｜游智涵創作個展,True,,4月15日(週二) - 6月1日(週日),"https://res.klook.com/image/upload/x_703,y_0,w_642,h_899,c_crop/v1744110883/events_admin/srvmlcla5kpbpbbprs0h.jpg",https://www.klook.com/zh-TW/event-detail/101029233-2025-room-of-spirit-and-time/,101029233,,,,
台北 | The Butters 奶油家族華山水果攤快閃店｜華山文創,True,,4月3日(週四) - 6月2日(週一),"https://res.klook.com/image/upload/x_2969,y_0,w_4227,h_5918,c_crop/v1744086627/events_admin/quuj66wwvuc2wtlf1c8c.jpg",https://www.klook.com/zh-TW/event-detail/101029215-2025-the-butters-pop-up/,101029215,,,,
台南市 | 《鬼滅之刃》動畫音樂會-台南場｜臺南文化中心,False,HK$ 309,6月7日(週六),"https://res.klook.com/image/upload/x_88,y_0,w_1463,h_2048,c_crop/v1744021735/events_admin/pmbtifo3djfsqz3p4cjv.jpg",https://www.klook.com/zh-TW/event-detail/101029212-2025-demon-slayer-in-concert/,101029212,,,,
台北 | 《鬼滅之刃》動畫音樂會-台北場｜國家兩廳院,False,HK$ 514,6月6日(週五) - 6月7日(週六),"https://res.klook.com/image/upload/x_88,y_0,w_1463,h_2048,c_crop/v1744021175/events_admin/gnhvt6efemiceeqjyebj.jpg",https://www.klook.com/zh-TW/event-detail/101029211-2025-demon-slayer-in-concert/,101029211,,,,
台北 | 綠黃色社會台北演唱會2025｜Ryokuoushoku Shakai ASIA TOUR 2025-TAIPEI,False,,10月18日(週六) - 10月19日(週日),"https://res.klook.com/image/upload/x_58,y_0,w_959,h_1343,c_crop/v1744018143/events_admin/q1rfc4ivfsi8kbzhs0ef.jpg",https://www.klook.com/zh-TW/event-detail/101029205-2025-ryokuoushoku-shakai/,101029205,,,,
台北 | Jocelyn 9.4.0《baby i’m so blue》演唱會｜Legacy Taipei,False,HK$ 329,6月7日(週六),"https://res.klook.com/image/upload/x_64,y_0,w_1071,h_1500,c_crop/v1744016693/events_admin/vhdqeaurdsuuiueb8edh.jpg",https://www.klook.com/zh-TW/event-detail/101029202-2025-jocelyn-concert-taipei/,101029202,,,,
台北 | BIBI台北演唱會2025｜2025 BIBI 1st WORLD TOUR [EVE] IN TAIPEI,False,,10月4日(週六),"https://res.klook.com/image/upload/x_0,y_69,w_1365,h_1911,c_crop/v1744015551/events_admin/opvqwxeuclmfswqc6y7c.jpg",https://www.klook.com/zh-TW/event-detail/101029201-2025-bibi-concert-taipei/,101029201,,,,
台中 | 2025兒童夜訪歌劇院【5月、6月】,False,HK$ 167,5月16日(週五) - 6月13日(週五),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1743923085/events_admin/fn2mj1kur8o0fbiknhzc.jpg",https://www.klook.com/zh-TW/event-detail/101029187-2025-ntt-children-event/,101029187,,,,
台北 | 惠利見面會2025台北站｜2025 HYERI FANMEETING TOUR <Welcome to HYERI’s STUDIO> IN TAIPEI｜台北國際會議中心,False,,7月5日(週六),"https://res.klook.com/image/upload/x_58,y_0,w_964,h_1350,c_crop/v1744007981/events_admin/cy1gelsymtb0qe4co2lf.jpg",https://www.klook.com/zh-TW/event-detail/101029192-2025-hyeri-fanmeeting-taipei/,101029192,,,,
台南市 | 雅與澀的鑿刻—任俊穎金工首飾與雕塑展,False,HK$ 13,4月20日(週日) - 5月18日(週日),"https://res.klook.com/image/upload/x_183,y_0,w_914,h_1280,c_crop/v1743925281/events_admin/dq73ahueiwuo0kcs9qeo.jpg",https://www.klook.com/zh-TW/event-detail/101029188-2025-ren-junying-exhibition/,101029188,,,,
台北 | 愛情城市 Love and the City｜台北沉浸式體驗｜驚喜製造,False,HK$ 561,5月15日(週四) - 5月29日(週四),https://res.klook.com/image/upload/20250324_愛情城市_Klook_展演頁面活動首圖_1_aq8mzp.jpg,https://www.klook.com/zh-TW/activity/151896-love-and-the-city-surprise-lab/,101029174,,,,
新北 | PINOCCHIOP演唱會2025台北站｜2025 PINOCCHIOP ASIA TOUR 'COMET' IN TAIPEI｜Zepp New Taipei,False,HK$ 514,5月17日(週六),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1743561861/events_admin/j6dkkildp5v1ajw86xz2.jpg",https://www.klook.com/zh-TW/event-detail/101029160-2025-pinocchiop-concert-taipei/,101029160,,,,
台北 | 莫內花園秘境｜MITSUI OUTLET PARK 林口店,True,,3月25日(週二) - 5月25日(週日),"https://res.klook.com/image/upload/x_430,y_0,w_1430,h_2002,c_crop/v1743499316/events_admin/zy89dbl9ituohsr41pyw.jpg",https://www.klook.com/zh-TW/event-detail/101029152-2025-mitsui-outlet-linkou/,101029152,,,,
新北 | EXILE首場台北粉絲見面會「EXILE 1st FAN MEETING IN TAIPEI」｜Zepp New Taipei,False,HK$ 509,6月14日(週六),"https://res.klook.com/image/upload/x_0,y_5,w_1456,h_2038,c_crop/v1743496932/events_admin/uoiunfuysi5gotxh60eo.jpg",https://www.klook.com/zh-TW/event-detail/101029148-2025-exile-fan-meeting-taipei/,101029148,,,,
台北 | 夏賢尚粉絲演唱會2025台北站｜2025 HA HYUN SANG FAN CONCERT <FINE DAY WITH HYUN SANG> IN TAIPEI｜Legacy MAX,False,HK$ 720,5月17日(週六),"https://res.klook.com/image/upload/x_88,y_0,w_1463,h_2048,c_crop/v1743495511/events_admin/tyvvdhe3p5i3ztr56afb.jpg",https://www.klook.com/zh-TW/event-detail/101029146-2025-ha-hyun-sang-fan-con/,101029146,,,,
台北 | 《WIND BREAKER防風少年》快閃店｜松山文創園區｜松菸,True,,4月11日(週五) - 6月8日(週日),"https://res.klook.com/image/upload/x_0,y_18,w_2480,h_3472,c_crop/v1743492923/events_admin/j4xt4rvii6f0zqr4wzsc.jpg",https://www.klook.com/zh-TW/event-detail/101029142-2025-wind-breaker-popup-taipei/,101029142,,,,
